date,total_emission_MtCO2eq
1/1/2019,11.94631917
1/2/2019,12.98273989
1/3/2019,12.89323083
1/4/2019,12.65768067
1/5/2019,12.76367824
1/6/2019,12.33340661
1/7/2019,12.69301319
1/8/2019,12.41663433
1/9/2019,12.72049405
1/10/2019,12.69615386
1/11/2019,12.76760408
1/12/2019,12.42919701
1/13/2019,12.0389689
1/14/2019,12.03347273
1/15/2019,11.91412732
1/16/2019,12.15046265
1/17/2019,12.07587176
1/18/2019,12.06095358
1/19/2019,11.62754128
1/20/2019,11.09598308
1/21/2019,11.05750988
1/22/2019,11.10933092
1/23/2019,11.00097785
1/24/2019,10.80390087
1/25/2019,10.5997574
1/26/2019,10.42230961
1/27/2019,9.748636138
1/28/2019,9.970838459
1/29/2019,9.388244386
1/30/2019,9.310512832
1/31/2019,9.110295192
2/1/2019,9.220270021
2/2/2019,9.046882822
2/3/2019,8.745377003
2/4/2019,8.430205197
2/5/2019,8.098805034
2/6/2019,8.105638027
2/7/2019,8.359312894
2/8/2019,8.853850768
2/9/2019,9.57131504
2/10/2019,10.07439415
2/11/2019,10.32977727
2/12/2019,10.82089865
2/13/2019,10.86702135
2/14/2019,11.02332607
2/15/2019,11.19671327
2/16/2019,11.02161782
2/17/2019,11.26418907
2/18/2019,12.11745908
2/19/2019,11.96457086
2/20/2019,12.01240181
2/21/2019,12.3907788
2/22/2019,12.25924369
2/23/2019,11.75872695
2/24/2019,11.37010046
2/25/2019,11.82961925
2/26/2019,12.22849522
2/27/2019,12.13966631
3/1/2019,11.30525279
3/2/2019,11.16127269
3/3/2019,10.89663889
3/4/2019,10.58856974
3/5/2019,10.70117987
3/6/2019,10.43654607
3/7/2019,10.44298093
3/8/2019,10.74381085
3/9/2019,10.78000697
3/10/2019,10.20810837
3/11/2019,10.03195395
3/12/2019,9.952322503
3/13/2019,10.38104536
3/14/2019,10.39713252
3/15/2019,10.28452239
3/16/2019,10.06332392
3/17/2019,9.773755009
3/18/2019,10.12365077
3/19/2019,9.805929332
3/20/2019,9.920148179
3/21/2019,9.916126389
3/22/2019,10.34645796
3/23/2019,10.03436703
3/24/2019,9.676427682
3/25/2019,10.08021544
3/26/2019,10.0367801
3/27/2019,10.06573699
3/28/2019,10.26923959
3/29/2019,10.08745466
3/30/2019,9.642644642
3/31/2019,9.53888245
4/1/2019,10.11534902
4/2/2019,10.41293103
4/3/2019,10.4584627
4/4/2019,9.747030309
4/5/2019,8.791678239
4/6/2019,9.364076416
4/7/2019,9.792561982
4/8/2019,9.982819331
4/9/2019,10.48529387
4/10/2019,10.78856733
4/11/2019,10.58530093
4/12/2019,10.12673194
4/13/2019,10.01127663
4/14/2019,9.498232238
4/15/2019,9.795001179
4/16/2019,9.679545865
4/17/2019,9.213659281
4/18/2019,9.700685571
4/19/2019,9.776300671
4/20/2019,9.854354967
4/21/2019,9.625883536
4/22/2019,9.70637703
4/23/2019,10.0803872
4/24/2019,10.1064053
4/25/2019,10.01046356
4/26/2019,9.852728836
4/27/2019,9.739712719
4/28/2019,9.918587149
4/29/2019,9.734834325
4/30/2019,9.364889481
5/1/2019,7.764522791
5/2/2019,8.054467832
5/3/2019,8.71099189
5/4/2019,8.846878939
5/5/2019,8.717312218
5/6/2019,9.079941029
5/7/2019,9.394377341
5/8/2019,9.237159185
5/9/2019,9.523944062
5/10/2019,9.291672013
5/11/2019,9.03253857
5/12/2019,8.6706998
5/13/2019,9.266390702
5/14/2019,9.433089349
5/15/2019,9.481281849
5/16/2019,9.478121685
5/17/2019,9.688272587
5/18/2019,9.521573939
5/19/2019,8.956694636
5/20/2019,8.942473898
5/21/2019,8.994616603
5/22/2019,9.266390702
5/23/2019,9.599787997
5/24/2019,9.398327546
5/25/2019,9.501822915
5/26/2019,9.324853734
5/27/2019,9.169215661
5/28/2019,9.22530857
5/29/2019,9.245849636
5/30/2019,9.162105292
5/31/2019,9.131293693
6/1/2019,9.229611745
6/2/2019,8.853319534
6/3/2019,9.964507218
6/4/2019,10.29014471
6/5/2019,10.31185388
6/6/2019,9.970939564
6/7/2019,8.993223048
6/8/2019,9.134734649
6/9/2019,10.26843554
6/10/2019,10.86101537
6/11/2019,10.60693772
6/12/2019,10.5804043
6/13/2019,10.3086377
6/14/2019,10.30140131
6/15/2019,10.31989431
6/16/2019,9.844704783
6/17/2019,10.23948999
6/18/2019,10.71387547
6/19/2019,10.99850676
6/20/2019,10.91649435
6/21/2019,11.02986444
6/22/2019,10.70824717
6/23/2019,9.902595893
6/24/2019,10.10280265
6/25/2019,9.947622311
6/26/2019,10.19044335
6/27/2019,10.58924877
6/28/2019,10.66322075
6/29/2019,10.56191131
6/30/2019,10.14782906
7/1/2019,10.37146875
7/2/2019,10.50577779
7/3/2019,10.89386843
7/4/2019,10.68615794
7/5/2019,10.30197163
7/6/2019,9.891235856
7/7/2019,9.756145953
7/8/2019,10.451898
7/9/2019,10.22076152
7/10/2019,10.02944923
7/11/2019,10.3027525
7/12/2019,10.24887271
7/13/2019,10.11065934
7/14/2019,9.981035502
7/15/2019,10.75096986
7/16/2019,10.87200417
7/17/2019,11.00397061
7/18/2019,11.46155837
7/19/2019,11.50606776
7/20/2019,11.1835699
7/21/2019,10.8759085
7/22/2019,11.56072842
7/23/2019,11.71924431
7/24/2019,12.28771512
7/25/2019,12.33925231
7/26/2019,12.45091622
7/27/2019,12.11202016
7/28/2019,11.95194253
7/29/2019,12.29474292
7/30/2019,12.34628011
7/31/2019,12.28771512
8/1/2019,11.95552466
8/2/2019,11.26014756
8/3/2019,11.00044708
8/4/2019,10.83222319
8/5/2019,11.34619757
8/6/2019,11.87335078
8/7/2019,11.78807599
8/8/2019,11.87645168
8/9/2019,11.78187419
8/10/2019,10.87486058
8/11/2019,9.941489315
8/12/2019,10.62291236
8/13/2019,11.33767009
8/14/2019,11.82373636
8/15/2019,11.37410568
8/16/2019,11.21595972
8/17/2019,11.16091872
8/18/2019,10.9275759
8/19/2019,11.60357237
8/20/2019,11.64853544
8/21/2019,11.91521294
8/22/2019,12.00436385
8/23/2019,12.28887154
8/24/2019,12.03692332
8/25/2019,11.2399917
8/26/2019,11.73536067
8/27/2019,12.10979449
8/28/2019,11.65706292
8/29/2019,11.10045115
8/30/2019,11.12680881
8/31/2019,10.62291236
9/1/2019,10.20073059
9/2/2019,10.62589398
9/3/2019,10.75511812
9/4/2019,10.71284109
9/5/2019,10.99362442
9/6/2019,11.29514742
9/7/2019,11.149172
9/8/2019,11.29754046
9/9/2019,11.63495906
9/10/2019,11.55439339
9/11/2019,11.16353023
9/12/2019,11.29434974
9/13/2019,9.842572316
9/14/2019,10.37382713
9/15/2019,10.46556032
9/16/2019,10.54692367
9/17/2019,10.37781553
9/18/2019,10.10979508
9/19/2019,10.3076197
9/20/2019,10.36425497
9/21/2019,9.984559339
9/22/2019,9.579337948
9/23/2019,10.08666237
9/24/2019,10.25975891
9/25/2019,10.124951
9/26/2019,10.02284797
9/27/2019,10.10979508
9/28/2019,9.81385584
9/29/2019,9.781948644
9/30/2019,9.022557376
10/1/2019,7.819889344
10/2/2019,8.178756305
10/3/2019,8.698067025
10/4/2019,9.202651024
10/5/2019,9.50648655
10/6/2019,9.587095976
10/7/2019,9.466181838
10/8/2019,9.598722335
10/9/2019,9.597947244
10/10/2019,9.966115293
10/11/2019,10.38621441
10/12/2019,10.03122291
10/13/2019,9.610348694
10/14/2019,9.380146778
10/15/2019,9.816522801
10/16/2019,10.24747319
10/17/2019,10.07850343
10/18/2019,9.881630414
10/19/2019,9.521988363
10/20/2019,9.095688518
10/21/2019,9.763816639
10/22/2019,9.904108042
10/23/2019,9.917284583
10/24/2019,9.736688467
10/25/2019,9.856827514
10/26/2019,9.473932744
10/27/2019,9.023605089
10/28/2019,9.075536161
10/29/2019,9.445254391
10/30/2019,9.229779196
10/31/2019,9.651428498
11/1/2019,10.00922927
11/2/2019,10.28438881
11/3/2019,9.689947929
11/4/2019,9.913765751
11/5/2019,10.139188
11/6/2019,10.46649148
11/7/2019,10.50740442
11/8/2019,10.64779194
11/9/2019,10.35578589
11/10/2019,10.02046027
11/11/2019,10.49055792
11/12/2019,10.57719707
11/13/2019,10.44082062
11/14/2019,10.74084881
11/15/2019,11.24383725
11/16/2019,10.87481862
11/17/2019,10.70314474
11/18/2019,11.10826302
11/19/2019,11.43636871
11/20/2019,12.07172253
11/21/2019,11.81661835
11/22/2019,11.43636871
11/23/2019,11.50295251
11/24/2019,10.80983925
11/25/2019,11.84950914
11/26/2019,12.29393592
11/27/2019,12.45838988
11/28/2019,12.50491831
11/29/2019,12.92768531
11/30/2019,12.52016039
12/1/2019,12.08622568
12/2/2019,12.39534685
12/3/2019,12.60637357
12/4/2019,12.82317056
12/5/2019,13.10096745
12/6/2019,13.20565649
12/7/2019,12.94681902
12/8/2019,12.30549563
12/9/2019,12.87345427
12/10/2019,12.90807584
12/11/2019,12.96412981
12/12/2019,13.16196736
12/13/2019,12.91714339
12/14/2019,12.72672475
12/15/2019,12.78360305
12/16/2019,12.66984645
12/17/2019,13.18092679
12/18/2019,13.70849359
12/19/2019,13.72910167
12/20/2019,13.51395334
12/21/2019,13.52961547
12/22/2019,13.48839932
12/23/2019,13.73075032
12/24/2019,13.64254774
12/25/2019,13.46202098
12/26/2019,13.25099426
12/27/2019,13.33672386
12/28/2019,13.15784574
12/29/2019,12.86603536
12/30/2019,12.71600855
12/31/2019,13.23862941
1/1/2020,11.55559881
1/2/2020,12.39156723
1/3/2020,12.38194989
1/4/2020,12.23251129
1/5/2020,11.80121077
1/6/2020,11.98320036
1/7/2020,11.7975118
1/8/2020,11.97876158
1/9/2020,12.40044477
1/10/2020,12.03942478
1/11/2020,11.8574352
1/12/2020,11.39136431
1/13/2020,11.7523843
1/14/2020,11.55485902
1/15/2020,11.84263929
1/16/2020,11.77827712
1/17/2020,11.29223177
1/18/2020,10.51174798
1/19/2020,10.02792202
1/20/2020,9.777131491
