yearmonth,coal,gas,oil,nuclear,hydro,wind,solar,other,total.prod,unit
2016-01,352189.6,14456.56,869.915,15515.63,80453.66,18721.89,5910.917,5382.729,493500.901,GWh
2016-02,266970.7,10958.52,659.422,11780.39,61026.24,14113.43,4094.928,4082.884,373686.514,GWh
2016-03,332290,13639.73,820.762,16655.36,82034.19,21004.41,6010.21,5079.2,477533.862,GWh
2016-04,300127.6,12319.54,741.32,14366.33,85469.66,22026.8,6362.6,4588.627,446002.477,GWh
2016-05,301094.7,12359.24,743.709,15745.49,102273.8,23480.86,6421.332,4603.379,466722.51,GWh
2016-06,315392.2,12946.11,779.024,17191.7,116904.8,19675.3,6519.218,4821.458,494229.81,GWh
2016-07,354790,14563.3,876.338,18973.13,135717.5,17028.45,6480.063,5422.392,553851.173,GWh
2016-08,377527.2,15496.61,932.499,19308.34,121415.9,15415.35,7047.803,5769.203,562912.905,GWh
2016-09,329589.2,13528.87,814.091,17239.59,104512.9,15290.39,6597.527,5038.006,492610.574,GWh
2016-10,324388.5,13315.39,801.245,16731.98,101538.4,21606.48,5971.055,4958.679,489311.729,GWh
2016-11,346441.4,14220.61,855.716,18657.07,88202.67,23673.98,5912.324,5295.052,503258.822,GWh
2016-12,386477.9,15864.01,954.607,20457.65,71398.5,22662.95,5755.706,5905.729,529477.052,GWh
2017-01,375902.027,15671.588,835.894,19566.845,65706.58,22266.2,7950.488,6667.52,514567.142,GWh
2017-02,298688.233,12452.497,664.193,12158.04,61685.887,24821.338,9246.432,5300.145,425016.765,GWh
2017-03,362785.757,15124.762,806.727,20317.224,76731.742,23892.537,9988.99,6435.245,516082.984,GWh
2017-04,322575.964,13448.391,717.312,19243.897,78657.442,26992.93,10339.12,5723.172,477698.228,GWh
2017-05,325406.221,13566.386,723.606,19452.863,93735.038,26982.09,11265.933,5773.292,496905.429,GWh
2017-06,339786.488,14165.909,755.583,18911.451,110494.978,21312.49,10956.996,6027.952,522411.847,GWh
2017-07,396996.139,16551.014,882.801,21922.465,131878.713,19534.643,11471.892,7041.075,606278.742,GWh
2017-08,394770.403,16458.222,877.851,21865.474,123572.809,19805.656,11265.933,7001.659,595618.007,GWh
2017-09,331817.805,13833.689,737.864,20839.64,118695.074,21681.068,11451.296,5886.835,524943.271,GWh
2017-10,318289.362,13269.68,707.78,19110.918,114124.182,24889.866,11039.379,5647.26,507078.427,GWh
2017-11,344604.336,14366.768,766.297,21219.578,92370.119,30526.944,11492.488,6113.271,521459.801,GWh
2017-12,404561.808,16866.432,899.624,21058.104,77863.884,29367.007,10915.804,7175.055,568707.718,GWh
2018-01,395281.9 ,14974.7 ,1426.6 ,20362.0 ,75247.4 ,31216.2 ,11407.1 ,12871.8 ,562787.8 ,GWh
2018-02,349952.7 ,13257.5 ,1263.0 ,19751.1 ,64152.6 ,34573.8 ,12491.3 ,12871.8 ,508313.7 ,GWh
2018-03,367855.8 ,14960.4 ,1247.1 ,22053.2 ,70380.0 ,34850.0 ,17580.7 ,11936.7 ,540863.9 ,GWh
2018-04,335630.1 ,13162.7 ,2072.3 ,22053.2 ,77520.0 ,37400.0 ,18932.9 ,19834.9 ,526606.0 ,GWh
2018-05,354524.5 ,14796.1 ,1483.2 ,23198.3 ,105400.0 ,32130.0 ,18482.8 ,14196.2 ,564211.1 ,GWh
2018-06,358374.6 ,17932.8 ,1153.4 ,23383.0 ,119000.0 ,24140.0 ,16465.0 ,11039.2 ,571488.0 ,GWh
2018-07,416126.0 ,21026.1 ,962.8 ,22323.6 ,141919.4 ,25330.0 ,16422.6 ,9215.1 ,653325.6 ,GWh
2018-08,419390.9 ,20979.4 ,1393.3 ,26050.6 ,140225.8 ,20400.0 ,17653.9 ,13336.3 ,659430.3 ,GWh
2018-09,347824.5 ,15886.0 ,1298.7 ,24628.6 ,128032.3 ,27540.0 ,16143.9 ,12430.8 ,573784.7 ,GWh
