year,month,date,total,nuclear,hydro,solar,wind,coal,gas,oil,other
2010,1,1/1/2010,332273.0834,6308.123064,31812.28026,NA,2968.41442,259804.4579,11275.14708,982.0158405,10723.82717
2010,2,2/1/2010,279433.2059,4794.173597,31624.59737,NA,2327.590478,214804.7263,9322.22234,811.9242185,8866.394312
2010,3,3/1/2010,338802.6254,6196.648587,38168.81039,NA,3590.649693,255503.5099,12064.42316,951.3958745,10389.45298
2010,4,4/1/2010,338485.257,5417.247885,47439.82234,NA,3659.425488,243546.0545,11101.89172,1283.104589,14011.78538
2010,5,5/1/2010,344107.4712,5186.435976,65535.99779,NA,4609.626274,230021.027,11586.06619,1225.182576,13379.26421
2010,6,6/1/2010,353606.7563,4938.977118,81699.12477,NA,5290.486137,226588.1705,13662.83143,1085.796896,11857.14181
2010,7,7/1/2010,377924.1865,5524.829364,94192.21087,NA,2672.320519,241782.7003,14925.87964,992.6112046,10839.53349
2010,8,8/1/2010,398996.9577,7791.614307,94101.43395,NA,3728.860873,253371.926,15365.93755,1081.748527,11812.93272
2010,9,9/1/2010,355064.0714,6502.083559,86090.29521,NA,3241.477526,225955.3812,12429.98416,1103.087162,12045.95534
2010,10,10/1/2010,333922.2477,6899.072788,70555.29909,NA,3897.274633,219430.0894,10547.51828,1046.964875,11433.08757
2010,11,11/1/2010,350707.3207,7055.01764,55604.86101,NA,5967.444644,247785.7171,11516.33766,1294.974452,14141.4069
2010,12,12/1/2010,383559.7083,7057.129322,56181.0131,NA,6953.177258,281388.2806,14817.399,1043.163071,11391.57103
2011,1,1/1/2011,373852.19,7599.607618,40985.6327,NA,6453.359103,284950.9905,12366.47113,1077.065377,11761.78884
2011,2,2/1/2011,314400.1762,5775.701871,40743.82979,NA,5060.202206,235595.7246,10224.52236,890.5105482,9724.574633
2011,3,3/1/2011,386232.5413,6925.666068,46315.69091,NA,7591.65935,286468.7982,13526.54922,1066.698586,11648.58405
2011,4,4/1/2011,376041.7622,7359.092255,47986.94186,NA,7400.691164,270514.7074,12331.24058,1425.186966,15563.3563
2011,5,5/1/2011,383246.1999,6746.879588,59987.6665,NA,8717.214043,262087.9601,13201.26466,1395.98369,15244.45008
2011,6,6/1/2011,406512.7895,6343.196103,77090.63478,NA,8176.205849,270830.2772,16330.54548,1297.802412,14172.28885
2011,7,7/1/2011,428648.3147,6719.855152,79553.00055,NA,6176.276054,291953.6219,18023.06209,1198.582181,13088.78203
2011,8,8/1/2011,437032.9909,9757.498533,75063.76999,NA,5180.9095,296856.9085,18003.11815,1267.403727,13840.3285
2011,9,9/1/2011,395209.8945,7680.648628,64781.38031,NA,5538.495772,273346.1538,15036.98802,1334.443249,14572.41488
2011,10,10/1/2011,366711.8223,7234.534465,56103.944,NA,6448.218029,256053.1478,12307.90756,1221.704154,13341.27907
2011,11,11/1/2011,378294.8466,6583.345052,54102.91583,NA,7546.379414,272097.9418,12646.29701,1422.034681,15528.93265
2011,12,12/1/2011,422874.868,7569.097453,52588.66376,NA,8627.090301,316940.0506,16689.49104,1174.960648,12830.82967
2012,1,1/1/2012,392239.9194,7078.010933,38924.45968,NA,7983.334817,302413.9983,13124.34104,1143.072521,12482.60125
2012,2,2/1/2012,329863.7886,5379.288385,38694.81707,NA,6259.885403,250034.0319,10851.12455,945.0848194,10320.5379
2012,3,3/1/2012,410136.4834,8147.262927,46484.47987,NA,8617.559263,305177.3626,14409.93449,1136.362017,12409.32409
2012,4,4/1/2012,377751.7024,7807.210187,49958.85183,NA,9271.324001,268638.0909,12245.69622,1415.300149,15455.39008
2012,5,5/1/2012,391610.1315,6815.525165,78063.73104,NA,8625.934315,255949.6512,12892.08052,1363.28864,14887.41291
2012,6,6/1/2012,398900.113,6740.251126,87387.18546,NA,9037.447778,255753.8419,15421.46539,1225.55704,13383.35344
2012,7,7/1/2012,434504.2214,7481.900581,104388.3924,NA,7030.088004,276736.2279,17083.65249,1136.108912,12406.56013
2012,8,8/1/2012,443547.5635,10021.21471,108059.3366,NA,7782.980639,275410.6131,16702.49088,1175.840708,12840.44012
2012,9,9/1/2012,395940.7544,8609.517708,96026.85873,NA,7730.574099,247700.4049,13626.1951,1209.243768,13205.20891
2012,10,10/1/2012,388651.4994,9237.484089,82946.97228,NA,8928.301887,250538.7102,12042.84076,1195.393166,13053.95728
2012,11,11/1/2012,404107.4964,8088.683098,62358.13277,NA,11133.81209,283681.1135,13184.64812,1482.5705,16189.99716
2012,12,12/1/2012,446912.4977,8131.258537,59606.82969,NA,12677.25753,328886.2596,17318.55685,1219.247653,13314.45354
2013,1,1/1/2013,422488.5217,8694.298846,46439.35494,NA,10542.44804,319352.644,13859.45438,1207.097667,13181.76981
2013,2,2/1/2013,355302.0932,6607.667216,46165.37671,NA,8266.534991,264038.7999,11458.91174,998.0203879,10898.60616
2013,3,3/1/2013,427869.3266,7207.421472,53767.16091,NA,12591.21159,312581.9128,14759.56424,1163.933687,12710.41282
2013,4,4/1/2013,413583.7588,7130.054201,57273.15601,NA,12768.23826,291411.2285,13283.79518,1535.27876,16765.583
2013,5,5/1/2013,419848.8942,7541.206982,76974.00593,NA,12742.65006,276465.8662,13925.47398,1472.56608,16080.74669
2013,6,6/1/2013,439484.1604,8644.178384,94582.00182,NA,11726.31219,280580.1671,16918.44512,1344.523299,14682.49125
2013,7,7/1/2013,486260.4912,8581.67069,97301.1918,NA,9661.381195,322848.891,19930.30801,1325.419173,14473.86997
2013,8,8/1/2013,513698.7905,11912.77892,96296.9434,NA,10618.5412,339215.4884,20571.98717,1448.249854,15815.20813
2013,9,9/1/2013,443316.9432,10478.24249,89221.68014,NA,11060.66756,288765.7473,15885.23205,1409.719862,15394.45211
2013,10,10/1/2013,435847.6463,10326.65023,77722.76824,NA,12478.36478,290904.5646,13983.13796,1387.990416,15157.16176
2013,11,11/1/2013,450174.2531,9618.106552,64573.77599,NA,13669.39557,318477.7075,14801.88955,1664.424002,18175.87755
2013,12,12/1/2013,502698.1191,10376.8913,64646.82445,NA,13944.98328,370920.9994,19532.03038,1375.078906,15016.16522
2014,1,1/1/2014,453287.9629,9693.846352,51510.07273,NA,12828.25791,339678.845,14741.58284,1283.927185,14020.76491
2014,2,2/1/2014,381203.6394,7367.323331,51206.17878,NA,10058.8822,280844.3778,12188.25013,1061.542527,11592.28215
2014,3,3/1/2014,459180.4261,9105.822399,60092.24591,NA,12968.51478,332763.4109,15712.49883,1239.081751,13531.04627
2014,4,4/1/2014,437152.953,7232.623417,70638.83012,NA,13334.1047,300600.482,13702.68145,1583.691671,17294.26267
2014,5,5/1/2014,448893.3379,10274.28161,86803.81909,NA,15672.72933,288891.9089,14551.36873,1538.752077,16803.51238
2014,6,6/1/2014,470621.6624,10295.34622,101520.275,NA,12136.80023,299679.0057,18070.06839,1436.043785,15681.91516
2014,7,7/1/2014,509157.3911,10286.74734,128977.7088,NA,11354.59009,315326.2652,19465.91661,1294.535894,14136.61775
2014,8,8/1/2014,507821.2442,15759.43897,134753.2534,NA,10344.39442,302909.606,18370.18869,1293.245172,14122.52278
2014,9,9/1/2014,464332.767,12927.26075,130368.3971,NA,10591.93591,273351.3664,15037.27477,1334.468697,14572.69277
2014,10,10/1/2014,447248.1714,11821.38875,108264.2688,NA,14311.26485,274561.6211,13197.56887,1310.013472,14305.63632
2014,11,11/1/2014,457034.7137,12153.09582,81778.17433,NA,15466.59485,306859.0046,14261.88705,1603.702489,17512.78523
2014,12,12/1/2014,512585.8712,13251.9437,70900.12926,NA,18788.79599,368267.1088,19392.2813,1365.240398,14908.72655
2015,1,1/1/2015,472110.1185,12977.66204,58722.47952,NA,15800.59535,344928.6741,14969.41802,1303.77063,14237.45965
2015,2,2/1/2015,397032.5932,9863.023291,58376.03454,NA,12389.54878,285184.9042,12376.62285,1077.948956,11771.44403
2015,3,3/1/2015,454571.2557,12066.22447,76104.69201,NA,17537.18905,309938.2535,14634.73533,1154.089726,12602.91459
2015,4,4/1/2015,455162.2506,12378.01309,80018.51052,NA,18328.69437,300344.9802,13691.03456,1582.345578,17279.56304
2015,5,5/1/2015,461180.7315,13415.82683,89969.14796,NA,17948.20745,292378.0948,14726.9665,1557.320876,17006.28777
2015,6,6/1/2015,485084.6721,15325.00684,119384.0127,NA,15625.55706,291263.0382,17562.60172,1395.714975,15241.51565
2015,7,7/1/2015,510599.0199,14539.59299,125138.7496,NA,11868.0859,314823.6264,19434.8874,1292.472368,14114.08359
2015,8,8/1/2015,525354.3608,20208.33087,119672.5633,NA,12103.6036,324343.032,19670.03548,1384.753246,15121.81115
2015,9,9/1/2015,462333.4638,15883.33167,122442.9622,NA,13049.78042,273303.8106,15034.65868,1334.236535,14570.15751
2015,10,10/1/2015,445193.4421,14181.19225,111343.3141,NA,17590.11286,266065.0202,12789.15609,1269.473714,13862.93321
2015,11,11/1/2015,471907.6629,14504.77506,85093.3072,NA,17089.92555,313726.6706,14581.07559,1639.594195,17904.73058
2015,12,12/1/2015,510328.9031,15941.07136,80585.13878,NA,18112.44147,356805.2996,18788.72311,1322.749161,14444.71286
2016,1,1/1/2016,482933.6397,15977.14585,72990.5024,NA,18915.43629,337018.8653,14626.14347,1273.872923,13910.97017
2016,2,2/1/2016,406134.899,12142.63101,72559.88037,NA,14831.9551,278645.123,12092.80557,1053.229729,11501.50453
2016,3,3/1/2016,485030.9357,17129.90108,84103.66839,NA,21071.40285,322760.8606,15240.19612,1201.836137,13124.31594
2016,4,4/1/2016,457227.6511,14937.26439,88758.74496,NA,22669.7317,289809.4967,13210.78126,1526.840153,16673.43155
2016,5,5/1/2016,474577.6616,16121.90413,109300.9535,6958.835606,23584.39977,280171.7747,14112.13909,1492.305208,16296.30232
2016,6,6/1/2016,507632.7994,17383.2626,123639.8661,7424.715656,19372.35093,299337.8158,18049.4953,1434.408824,15664.06103
2016,7,7/1/2016,558807.7672,17154.68177,140866.7982,7195.739415,16621.61186,334687.989,20661.16655,1374.023235,15004.63706
2016,8,8/1/2016,579015.246,24165.99145,126559.2781,8046.202084,15763.43989,355237.5366,21543.65675,1516.65454,16562.2024
2016,9,9/1/2016,505711.6845,17978.11122,108504.5388,6977.738671,15694.34802,313821.6093,17263.57483,1532.039585,16730.21049
2016,10,10/1/2016,494104.6638,17408.72136,103554.9852,6561.894767,22462.47379,304432.9185,14633.41596,1452.538133,15862.03708
2016,11,11/1/2016,516459.7732,19549.32342,88099.49982,6016.750515,24194.85338,337279.9311,15675.76056,1762.687935,19248.94139
2016,12,12/1/2016,561065.0008,21442.42992,77378.25328,5627.787475,23352.84281,391957.8016,20639.79042,1453.066571,15867.80774
2017,1,1/1/2017,520134.8865,18704.5693,69575.91448,8412.346367,26022.66386,361572.6688,15691.74392,1366.682047,14924.46604
2017,2,2/1/2017,437420.2007,14215.47287,69165.43749,6596.281586,20404.86806,298946.0565,12973.83747,1129.9637,12339.45668
2017,3,3/1/2017,528008.0681,21072.54583,81603.83636,10273.80255,25123.14896,351022.6507,16574.66779,1307.072071,14273.51557
2017,4,4/1/2017,494015.8231,20175.2651,84735.13677,10618.90099,29111.72353,310284.8803,14144.13858,1634.713216,17851.4292
2017,5,5/1/2017,506447.2612,20083.73459,103916.8435,11601.14623,28399.40544,301626.1406,15192.78683,1606.57961,17544.20402
2017,6,6/1/2017,538151.7714,19281.3793,121225.3424,11847.90123,21989.6316,321246.708,19370.55941,1539.394919,16810.53235
2017,7,7/1/2017,613741.0034,19986.37331,141994.644,12103.10326,19981.41732,373058.5447,23029.88149,1531.54916,16724.85493
2017,8,8/1/2017,612849.9056,27594.30175,133618.3158,12210.70698,21223.14273,370030.1576,22440.76675,1579.810297,17251.87721
2017,9,9/1/2017,537281.3717,21913.32001,127830.6991,11512.24325,23319.9822,314725.1181,17313.27756,1536.450407,16778.37764
2017,10,10/1/2017,510542.8934,20049.42609,120737.6576,11532.9307,27115.58351,297556.9971,14302.90566,1419.731109,15503.77714
2017,11,11/1/2017,533092.784,22419.50129,95707.89365,11119.32453,32693.23758,334197.5994,15532.50302,1746.579094,19073.02929
2017,12,12/1/2017,599985.04,22255.55577,87536.75109,10158.11444,31710.70234,408715.8066,21522.23672,1515.191874,16546.22976
2018,1,1/1/2018,583754.8948,22058.49208,72197.68126,14769.69617,37144.4104,401634.2788,17430.3613,1518.107992,16578.07039
2018,2,2/1/2018,490923.0084,16764.45421,71771.73664,11581.20109,29125.64208,332068.7491,14411.31564,1255.161673,13706.64658
2018,3,3/1/2018,539714.6662,21437.05457,74796.01494,16526.75054,34846.40035,356038.7792,16811.52049,1325.750186,14477.48471
2018,4,4/1/2018,529326.5757,21489.74437,79993.43421,16295.82141,38394.73899,333447.4379,15199.989,1756.743457,19184.02638
2018,5,5/1/2018,557248.9323,23123.75301,108350.8165,16419.55803,32495.58324,332937.4589,16769.92529,1773.356022,19365.43926
2018,6,6/1/2018,574101.995,22990.45427,123639.8661,17631.85112,25546.44892,341224.5001,20575.1819,1635.127298,17855.95107
2018,7,7/1/2018,649546.4327,22826.72446,147109.8233,16777.4208,25858.30477,390324.434,24095.75008,1602.432292,17498.91439
2018,8,8/1/2018,660205.9215,32257.28323,145448.2103,16794.11758,21792.34579,395073.7299,23959.55368,1686.731565,18419.48106
2018,9,9/1/2018,564413.5042,24729.89077,130314.84,14718.90771,27226.07922,329024.8819,18099.91887,1606.260145,17540.71538
2018,10,10/1/2018,540132.4241,25091.67739,125506.269,17101.1732,29300.41929,310777.9468,14938.40742,1482.812112,16192.63561
2018,11,11/1/2018,568671.1409,27959.1453,96398.56918,14044.09592,30626.6906,359815.5957,16723.15072,1880.463529,20535.07687
2018,12,12/1/2018,652783.1725,30708.04921,85348.03493,11950.52791,39588.62876,441935.7062,23271.53668,1638.344737,17891.08622
2019,1,1/1/2019,613210.284,27128.6362,76569.18008,16580.45125,37379.79128,418531.0799,18163.65863,1581.974972,17275.51175
2019,2,2/1/2019,515694.241,20617.7638,76117.44492,13001.04875,29310.20872,346038.9201,15017.60137,1307.966471,14283.28681
2019,3,3/1/2019,582046.525,28234.65,90977.25,21464.625,38950,368650,17407,1372.709476,14990.29052
2019,4,4/1/2019,563782.98,27683.73,94503.5,22005.75,40090,342390,15607.63,1803.856692,19698.51331
2019,5,5/1/2019,572166.46,26673.71,120245.125,22907.625,40300,325220,16381.2,1732.249797,18916.5502
2019,6,6/1/2019,603420.15,27086.9,131881.75,22921.5,29450,350880,21157.39,1681.395873,18361.21413
2019,7,7/1/2019,667088.73,27113.23,156565.5,23310,23940,392700,24242.4,1612.184907,17605.41509
2019,8,8/1/2019,688801.37,39377.62,148102.5,24281.25,25800,405960,24619.76,1733.209511,18927.03049
2019,9,9/1/2019,608190.795,29633.92,128708.125,22338.75,26200,360500,19831.39,1759.917909,19218.69209
2019,10,10/1/2019,579058.995,28659.12,120245.125,20784.75,33800,339900,16338.24,1621.76191,17709.99809
2019,11,11/1/2019,604254.925,32655.8,89919.375,16899.75,38800,384190,17856,2007.84872,21926.15128
2019,12,12/1/2019,689032.4341,33338.16,81720,16200,42000,470232.7684,24761.6089,1743.24765,19036.64918
