year,day_start,day_end,mean,RF_pred
2018,0,5,312.5971098,312.5971098
2018,5,10,308.6078857,308.6078857
2018,10,15,329.1795403,329.1795403
2018,15,20,335.2667358,335.2667358
2018,20,25,326.5355383,326.5355383
2018,25,30,324.273302,324.273302
2018,30,35,340.082917,340.082917
2018,35,40,356.3812259,356.3812259
2018,40,45,369.080503,369.080503
2018,45,50,383.7230658,383.7230658
2018,50,55,389.4131557,389.4131557
2018,55,60,418.3119648,418.3119648
2018,60,65,422.6025325,422.6025325
2018,65,70,440.2737698,440.2737698
2018,70,75,460.9484042,460.9484042
2018,75,80,452.7015558,452.7015558
2018,80,85,490.1585746,490.1585746
2018,85,90,500.6889093,500.6889093
2018,90,95,499.1089386,499.1089386
2018,95,100,511.5926981,511.5926981
2018,100,105,498.7141325,498.7141325
2018,105,110,544.534632,544.534632
2018,110,115,527.9678655,527.9678655
2018,115,120,553.2382632,553.2382632
2018,120,125,548.617166,548.617166
2018,125,130,552.4536179,552.4536179
2018,130,135,583.9503269,583.9503269
2018,135,140,579.6369619,579.6369619
2018,140,145,573.0565487,573.0565487
2018,145,150,576.8774729,576.8774729
2018,150,155,588.061083,588.061083
2018,155,160,596.4673203,596.4673203
2018,160,165,591.9114706,591.9114706
2018,165,170,587.9973159,587.9973159
2018,170,175,598.8333317,598.8333317
2018,175,180,605.1234214,605.1234214
2018,180,185,589.7618872,589.7618872
2018,185,190,581.1200249,581.1200249
2018,190,195,601.3580059,601.3580059
2018,195,200,613.2708776,613.2708776
2018,200,205,616.4888116,616.4888116
2018,205,210,607.2185019,607.2185019
2018,210,215,595.244875,595.244875
2018,215,220,595.0807849,595.0807849
2018,220,225,590.9945549,590.9945549
2018,225,230,577.7026753,577.7026753
2018,230,235,577.7153079,577.7153079
2018,235,240,560.7204642,560.7204642
2018,240,245,541.5358317,541.5358317
2018,245,250,532.896952,532.896952
2018,250,255,523.3239765,523.3239765
2018,255,260,505.1133275,505.1133275
2018,260,265,505.9324482,505.9324482
2018,265,270,484.5357255,484.5357255
2018,270,275,480.6564439,480.6564439
2018,275,280,470.2066818,470.2066818
2018,280,285,443.3715573,443.3715573
2018,285,290,426.9662444,426.9662444
2018,290,295,415.3145709,415.3145709
2018,295,300,408.1497809,408.1497809
2018,300,305,405.4097269,405.4097269
2018,305,310,383.650639,383.650639
2018,310,315,374.9106227,374.9106227
2018,315,320,358.2209904,358.2209904
2018,320,325,339.6906422,339.6906422
2018,325,330,350.360786,350.360786
2018,330,335,346.9740579,346.9740579
2018,335,340,321.8023322,321.8023322
2018,340,345,301.1223554,301.1223554
2018,345,350,313.8559813,313.8559813
2018,350,355,326.9167071,326.9167071
2018,355,360,309.6394091,309.6394091
2018,360,365,297.8649949,297.8649949
2019,0,5,315.4269636,315.4269636
2019,5,10,317.3789238,317.3789238
2019,10,15,325.6834019,325.6834019
2019,15,20,331.9495403,331.9495403
2019,20,25,344.953346,344.953346
2019,25,30,347.1812823,347.1812823
2019,30,35,356.3001718,356.3001718
2019,35,40,359.6718683,359.6718683
2019,40,45,366.9301769,366.9301769
2019,45,50,377.0983337,377.0983337
2019,50,55,397.8935182,397.8935182
2019,55,60,408.0038656,408.0038656
2019,60,65,427.9559739,427.9559739
2019,65,70,436.3672182,436.3672182
2019,70,75,452.6079536,452.6079536
2019,75,80,469.3830395,469.3830395
2019,80,85,471.3198548,471.3198548
2019,85,90,488.2810381,488.2810381
2019,90,95,498.3912587,498.3912587
2019,95,100,515.6268762,515.6268762
2019,100,105,519.9232816,519.9232816
2019,105,110,542.4466518,542.4466518
2019,110,115,548.555756,548.555756
2019,115,120,542.6240914,542.6240914
2019,120,125,548.4797045,548.4797045
2019,125,130,543.7008915,543.7008915
2019,130,135,572.5471208,572.5471208
2019,135,140,568.6797873,568.6797873
2019,140,145,597.6104772,597.6104772
2019,145,150,566.7046646,566.7046646
2019,150,155,604.9285322,604.9285322
2019,155,160,601.451718,601.451718
2019,160,165,595.5057025,595.5057025
2019,165,170,596.4232008,596.4232008
2019,170,175,600.1919025,600.1919025
2019,175,180,588.1072878,588.1072878
2019,180,185,613.2604723,613.2604723
2019,185,190,588.5274368,588.5274368
2019,190,195,593.7794143,593.7794143
2019,195,200,601.2970476,601.2970476
2019,200,205,602.4583522,602.4583522
2019,205,210,617.8739767,617.8739767
2019,210,215,610.4156655,610.4156655
2019,215,220,591.6803011,591.6803011
2019,220,225,590.1784866,590.1784866
2019,225,230,592.2106512,592.2106512
2019,230,235,567.0059638,567.0059638
2019,235,240,571.9069081,571.9069081
2019,240,245,559.4615676,559.4615676
2019,245,250,563.4549446,563.4549446
2019,250,255,533.0187344,533.0187344
2019,255,260,517.9790161,517.9790161
2019,260,265,511.0258131,511.0258131
2019,265,270,518.5034526,518.5034526
2019,270,275,513.7762628,513.7762628
2019,275,280,470.660756,470.660756
2019,280,285,458.8624757,458.8624757
2019,285,290,434.009541,434.009541
2019,290,295,438.3248789,438.3248789
2019,295,300,407.014731,407.014731
2019,300,305,414.3214554,414.3214554
2019,305,310,400.9148819,400.9148819
2019,310,315,389.2217659,389.2217659
2019,315,320,371.0574514,371.0574514
2019,320,325,354.0948502,354.0948502
2019,325,330,350.3011162,350.3011162
2019,330,335,330.7863561,330.7863561
2019,335,340,322.1834141,322.1834141
2019,340,345,331.3486368,331.3486368
2019,345,350,336.4770408,336.4770408
2019,350,355,315.7111825,315.7111825
2019,355,360,315.4611242,315.4611242
2019,360,365,318.055492,318.055492
2020,0,5,325.7404458,325.7404458
2020,5,10,326.4819263,326.4819263
2020,10,15,326.8686168,326.8686168
2020,15,20,333.4547555,333.4547555
2020,20,25,335.5476502,335.5476502
2020,25,30,345.445559,345.445559
2020,30,35,348.5595479,348.5595479
2020,35,40,358.0920884,358.0920884
2020,40,45,384.2893341,384.2893341
2020,45,50,380.8068325,380.8068325
2020,50,55,406.4926394,406.4926394
2020,55,60,415.7594813,415.7594813
2020,60,65,416.7145537,416.7145537
2020,65,70,429.0119086,429.0119086
2020,70,75,445.56255,445.56255
2020,75,80,468.0207038,468.0207038
2020,80,85,483.8965794,483.8965794
2020,85,90,466.1619767,466.1619767
2020,90,95,478.9349867,478.9349867
2020,95,100,505.3526396,505.3526396
2020,100,105,517.9149841,517.9149841
2020,105,110,524.3952384,524.3952384
2020,110,115,506.2241425,506.2241425
2020,115,120,560.0303595,560.0303595
2020,120,125,573.4671894,573.4671894
2020,125,130,549.7560713,549.7560713
2020,130,135,569.2426922,569.2426922
2020,135,140,584.1310654,584.1310654
2020,140,145,567.4945181,567.4945181
2020,145,150,578.5537005,578.5537005
2020,150,155,587.119176,587.119176
2020,155,160,593.4747211,593.4747211
2020,160,165,592.7526162,592.7526162
2020,165,170,590.9275263,590.9275263
2020,170,175,586.6531155,586.6531155
2020,175,180,591.5924313,591.5924313
2020,180,185,600.3176078,600.3176078
2020,185,190,601.9548345,601.9548345
2020,190,195,585.7431795,585.7431795
2020,195,200,600.592893,600.592893
2020,200,205,587.073305,587.073305
2020,205,210,602.8909262,602.8909262
2020,210,215,600.4952043,600.4952043
2020,215,220,586.6909008,586.6909008
2020,220,225,581.8809218,581.8809218
2020,225,230,568.5175121,568.5175121
2020,230,235,565.3615643,565.3615643
2020,235,240,573.2232148,573.2232148
2020,240,245,549.359778,549.359778
2020,245,250,548.977075,548.977075
2020,250,255,525.6379977,525.6379977
2020,255,260,503.2382473,503.2382473
2020,260,265,493.9831697,493.9831697
2020,265,270,480.8410829,480.8410829
2020,270,275,470.9166058,470.9166058
2020,275,280,447.6530462,447.6530462
2020,280,285,452.8923137,452.8923137
2020,285,290,425.556257,425.556257
2020,290,295,421.6781167,421.6781167
2020,295,300,420.8331369,420.8331369
2020,300,305,400.4230807,400.4230807
2020,305,310,,401.131103
2020,310,315,,391.2985864
2020,315,320,,368.0775452
2020,320,325,,357.4873705
2020,325,330,,351.9427673
2020,330,335,,347.6604419
2020,335,340,,330.0193725
2020,340,345,,330.944955
2020,345,350,,333.7020944
2020,350,355,,323.0614925
2020,355,360,,316.916131
