year,day_start,day_end,mean,average_for_last_5,RF_pred
2018,0,5,2.737899405,2.737899405,2.737899405
2018,5,10,2.927413945,2.927413945,2.927413945
2018,10,15,2.579634087,2.579634087,2.579634087
2018,15,20,2.661867088,2.661867088,2.661867088
2018,20,25,2.820192196,2.820192196,2.820192196
2018,25,30,3.085108008,3.085108008,3.085108008
2018,30,35,2.642961846,2.642961846,2.642961846
2018,35,40,2.828263999,2.828263999,2.828263999
2018,40,45,2.959376638,2.959376638,2.959376638
2018,45,50,2.798944699,2.798944699,2.798944699
2018,50,55,2.693623953,2.693623953,2.693623953
2018,55,60,2.710535553,2.710535553,2.710535553
2018,60,65,3.114801744,3.114801744,3.114801744
2018,65,70,2.494236463,2.494236463,2.494236463
2018,70,75,2.98847476,2.98847476,2.98847476
2018,75,80,2.723269194,2.723269194,2.723269194
2018,80,85,2.712492723,2.712492723,2.712492723
2018,85,90,3.033691058,3.033691058,3.033691058
2018,90,95,3.561512381,3.561512381,3.561512381
2018,95,100,3.109986071,3.109986071,3.109986071
2018,100,105,3.25317569,3.25317569,3.25317569
2018,105,110,3.215984291,3.215984291,3.215984291
2018,110,115,2.791354948,2.791354948,2.791354948
2018,115,120,2.869378147,2.869378147,2.869378147
2018,120,125,3.006680947,3.006680947,3.006680947
2018,125,130,2.989648182,2.989648182,2.989648182
2018,130,135,3.126005244,3.126005244,3.126005244
2018,135,140,2.943054534,2.943054534,2.943054534
2018,140,145,3.391818051,3.391818051,3.391818051
2018,145,150,2.612082075,2.612082075,2.612082075
2018,150,155,2.876009165,2.876009165,2.876009165
2018,155,160,2.541629894,2.541629894,2.541629894
2018,160,165,2.427424466,2.427424466,2.427424466
2018,165,170,2.764142335,2.764142335,2.764142335
2018,170,175,2.494284642,2.494284642,2.494284642
2018,175,180,2.54149002,2.54149002,2.54149002
2018,180,185,2.530341266,2.530341266,2.530341266
2018,185,190,2.424672506,2.424672506,2.424672506
2018,190,195,2.703458521,2.703458521,2.703458521
2018,195,200,2.710012909,2.710012909,2.710012909
2018,200,205,2.47866708,2.47866708,2.47866708
2018,205,210,2.462370338,2.462370338,2.462370338
2018,210,215,2.378076983,2.378076983,2.378076983
2018,215,220,2.00661499,2.00661499,2.00661499
2018,220,225,2.203083071,2.203083071,2.203083071
2018,225,230,2.562078063,2.562078063,2.562078063
2018,230,235,2.360866406,2.360866406,2.360866406
2018,235,240,2.36069458,2.36069458,2.36069458
2018,240,245,2.487170118,2.487170118,2.487170118
2018,245,250,2.762784199,2.762784199,2.762784199
2018,250,255,2.618413155,2.618413155,2.618413155
2018,255,260,2.670353111,2.670353111,2.670353111
2018,260,265,2.392038651,2.392038651,2.392038651
2018,265,270,2.599210286,2.599210286,2.599210286
2018,270,275,2.513626815,2.513626815,2.513626815
2018,275,280,2.460341477,2.460341477,2.460341477
2018,280,285,2.380128182,2.380128182,2.380128182
2018,285,290,2.621469052,2.621469052,2.621469052
2018,290,295,2.509076781,2.509076781,2.509076781
2018,295,300,2.694872916,2.694872916,2.694872916
2018,300,305,2.633010701,2.633010701,2.633010701
2018,305,310,,2.567711526,2.454518125
2018,310,315,,2.605228195,2.715532171
2018,315,320,,2.601980024,3.056258126
2018,320,325,,2.620560673,3.011989543
2018,325,330,,2.605698224,2.948087476
